FID,Genus_species,Persistence,Family,Genus,Repro_strategy,M_wing_color,z.temp.change,z.all.burned,z.high.burned,z.hist.temp,z.per.obs,z.size,gen.spec,z.bio5,Change_mean_temp,future_change
2170,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,1.087500947,0.942446786,1.553933599,-0.150870295,-0.278179544,1.339451611,spec,-2.102299695,0.684371937,1.368743873
2182,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,1.387264191,0.653670958,1.42702757,-0.407054226,-0.841292246,1.339451611,spec,-2.102299695,0.735540923,1.471081846
2271,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,0.069176461,1.168902645,1.46638134,-0.47624574,0.590982716,1.339451611,spec,-2.102299695,0.510545984,1.021091967
2371,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,-0.050444123,1.524060566,2.702841667,-0.34128201,0.856829634,1.339451611,spec,-2.102299695,0.490126989,0.980253978
2385,Aeshna_palmata,0,Aeshnidae,Aeshna,f,n,0.092099981,0.249824407,-0.669723353,-0.310342206,-2.052356266,1.339451611,spec,-2.102299695,0.514458983,1.028917965
2482,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,0.601437973,0.373290541,0.709611485,-1.183323778,-0.077195922,1.339451611,spec,-2.102299695,0.601401959,1.202803918
2574,Aeshna_palmata,0,Aeshnidae,Aeshna,f,n,-0.129232371,0.993404266,1.579739603,-0.700169534,-2.052356266,1.339451611,spec,-2.102299695,0.476677993,0.953355985
2582,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,0.397393458,0.781654426,1.59776604,-1.609168566,-2.052356266,1.339451611,spec,-2.102299695,0.566571968,1.133143937
2589,Aeshna_palmata,0,Aeshnidae,Aeshna,f,n,-0.750897366,0.295453565,-0.415180757,-0.485554588,-1.288259942,1.339451611,spec,-2.102299695,0.370561021,0.741122043
2688,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,-0.003109076,0.213474126,0.396873142,-0.737506953,0.485916779,1.339451611,spec,-2.102299695,0.498206987,0.996413974
2784,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,-0.112249165,1.155705139,2.283339247,-1.63577534,-2.052356266,1.339451611,spec,-2.102299695,0.479576992,0.959153984
2877,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,-1.395069942,1.211376949,2.07010573,-0.954626905,-1.288259942,1.339451611,spec,-2.102299695,0.260602051,0.521204102
2886,Aeshna_palmata,0,Aeshnidae,Aeshna,f,n,-1.063777339,0.810497277,1.691326984,-0.906575473,-1.288259942,1.339451611,spec,-2.102299695,0.317153036,0.634306072
