FID,Persistence,Family,Genus,Genus_species,Repro_strategy,M_wing_color,z.temp.change,z.burned
991,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,0.713507211,1.269302458
991,1,Aeshnidae,Anax,Anax_junius,f,n,0.713507211,1.269302458
1074,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,2.179710285,0.210909607
1075,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,2.334902454,0.359096002
1077,1,Corduliidae,Macromia,Macromia_illinoiensis,f,n,1.888218958,-0.974789473
1078,0,Cordulegastridae,Cordulegaster,Cordulegaster_maculata,f,n,1.749658497,-0.974789473
1078,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,1.749658497,-0.974789473
1078,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,1.749658497,-0.974789473
1080,1,Libellulidae,Pantala,Pantala_flavescens,f,n,1.211450813,0.481094547
1080,1,Libellulidae,Pantala,Pantala_hymenaea,f,y,1.211450813,0.481094547
1082,1,Aeshnidae,Anax,Anax_junius,f,n,0.064068026,-0.549088484
1082,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.064068026,-0.549088484
1082,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,0.064068026,-0.549088484
1083,1,Libellulidae,Libellula,Libellula_incesta,p,n,-0.455041607,-0.373742852
1083,1,Libellulidae,Plathemis,Plathemis_lydia,p,y,-0.455041607,-0.373742852
1083,0,Corduliidae,Didymops,Didymops_transversa,f,y,-0.455041607,-0.373742852
1083,1,Corduliidae,Macromia,Macromia_illinoiensis,f,n,-0.455041607,-0.373742852
1083,0,Aeshnidae,Basiaeschna,Basiaeschna_janata,f,y,-0.455041607,-0.373742852
1085,0,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,-0.659543069,0.128089897
1086,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-1.078054011,1.047400309
1086,1,Corduliidae,Epitheca,Epitheca_cynosura,p,y,-1.078054011,1.047400309
1088,1,Corduliidae,Macromia,Macromia_illinoiensis,f,n,-0.515147743,1.526304025
1089,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.109208709,0.25327228
1089,1,Libellulidae,Libellula,Libellula_incesta,p,n,-0.109208709,0.25327228
1089,1,Aeshnidae,Anax,Anax_junius,f,n,-0.109208709,0.25327228
1090,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,0.237133861,1.506739368
1090,0,Corduliidae,Didymops,Didymops_transversa,f,y,0.237133861,1.506739368
1091,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,0.400293315,1.531770265
1091,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,0.400293315,1.531770265
1091,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.400293315,1.531770265
